date,feature_index,NO2
2024-06-26 00:00:00+00:00,0,1.3078425126877846e-05
2024-06-27 00:00:00+00:00,0,1.31430630669153e-05
2024-06-28 00:00:00+00:00,0,1.3207701006952753e-05
2024-06-29 00:00:00+00:00,0,1.3272338946990205e-05
2024-06-30 00:00:00+00:00,0,2.342815241718199e-05
2024-07-01 00:00:00+00:00,0,2.4025199309107848e-05
2024-07-02 00:00:00+00:00,0,2.4622246201033704e-05
2024-07-03 00:00:00+00:00,0,2.521929309295956e-05
2024-07-04 00:00:00+00:00,0,2.5816339984885414e-05
2024-07-05 00:00:00+00:00,0,2.641338687681127e-05
2024-07-06 00:00:00+00:00,0,2.7010433768737126e-05
2024-07-07 00:00:00+00:00,0,2.7607480660662983e-05
2024-07-08 00:00:00+00:00,0,1.0987138921336737e-05
2024-07-09 00:00:00+00:00,0,4.396936856210232e-05
2024-07-10 00:00:00+00:00,0,3.447988456173334e-05
2024-07-11 00:00:00+00:00,0,2.4990400561364368e-05
2024-07-12 00:00:00+00:00,0,2.7590433091972955e-05
2024-07-13 00:00:00+00:00,0,3.220073631382547e-05
2024-07-14 00:00:00+00:00,0,3.7589252315228805e-05
2024-07-15 00:00:00+00:00,0,2.150255022570491e-05
2024-07-16 00:00:00+00:00,0,3.7451562093338e-05
2024-07-17 00:00:00+00:00,0,1.6520525605301373e-05
2024-07-18 00:00:00+00:00,0,5.795866400148952e-06
2024-07-19 00:00:00+00:00,0,3.8785186916356906e-05
2024-07-20 00:00:00+00:00,0,2.5150230158033082e-05
2024-07-21 00:00:00+00:00,0,1.1515273399709258e-05
2024-07-22 00:00:00+00:00,0,2.750436215137597e-05
2024-07-23 00:00:00+00:00,0,2.8435964850359596e-05
2024-07-24 00:00:00+00:00,0,2.936756754934322e-05
2024-07-25 00:00:00+00:00,0,3.4998112823814154e-05
2024-07-26 00:00:00+00:00,0,8.948702088673599e-06
2024-07-27 00:00:00+00:00,0,2.0578006115101743e-05
2024-07-28 00:00:00+00:00,0,3.220731014152989e-05
2024-07-29 00:00:00+00:00,0,2.4880055207177065e-05
2024-07-30 00:00:00+00:00,0,1.8863343939301558e-05
2024-07-31 00:00:00+00:00,0,1.284663267142605e-05
2024-08-01 00:00:00+00:00,0,1.2485534777321542e-05
2024-08-02 00:00:00+00:00,0,1.2124436883217035e-05
2024-08-03 00:00:00+00:00,0,1.1763338989112526e-05
2024-08-04 00:00:00+00:00,0,1.6652127669658512e-05
2024-08-05 00:00:00+00:00,0,2.1287261915858835e-05
2024-08-06 00:00:00+00:00,0,2.984912680403795e-05
